Video,velocidad media,mean_intensidad,N,dispersion,max_vel,max_int,min_vel,min_int,var_int,var_vel,mean_fwhm,var_fwhm,V_feat_i_1,V_feat_i_2,V_feat_v_1,V_feat_v_2,V_feat_fwhm_1,V_feat_fwhm_2,loss,recorrido,Clasificación
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-14-21-09-08.avi,14.071017051429298,1407.4100146740275,81,5.357808338508017,43.07062272714444,2942.0,0.7548354183692677,893.0,245262.02977105946,120.69405992325987,2.0829865147716125,0.06796170879651299,130.00032800189248,0.4658193643223806,8210.092070173698,10.006116704691275,4.3948226157424966,0.1333907208830935,15.990673200914033,22.0038100171928,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-14-21-07-34.avi,20.445898562332143,4810.498566399439,178,27.61457497064437,77.78537011963671,12983.91578438396,1.1813422789815595,1197.15,10860432.8642223,134.54408171334842,2.9026603668968525,0.5422837480633328,88.70862740679561,1.2033766571069575,34296.0575879408,481.59968736099967,6.307010619355812,0.13222355970232552,35.21585298139314,108.66030824783225,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-14-20-18-54.avi,20.710657038860678,1613.6425666199161,82,13.213599405546546,52.01386945271177,2263.4,2.3290379114122266,1125.1,56157.03755198415,113.74440341134441,2.161442295887364,0.06137661106360754,77.42714861918898,2.6404378309722394,4828.433293972271,439.2215303172561,3.516073151162326,0.16569795789337652,15.089549424794537,52.37457992835064,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-15-22-45-52.avi,14.526734388179188,2828.5529227644697,154,13.958911586555539,36.269827456093886,4198.6785667712675,1.7690642534816468,1032.0500000000004,1387111.7842664688,58.39881273120759,2.556845528675294,0.19170513330472405,58.42325589156667,3.8410126893506162,6034.212275664829,344.13227022507215,4.239235159618491,0.24309232030613304,37.00288297668067,55.4063290241395,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-15-22-45-42.avi,8.756318754295853,4387.200288648366,82,2.8613633249903407,25.02849899541932,4730.977283414457,0.917511703760792,3510.85,52721.691466861004,40.75495079907701,2.975416211232313,0.06986295641993104,121.83544586537971,7.200375974940123,2475.6500815924696,5.559136329267509,3.6809758619966817,0.6637622587623526,18.96002235586147,11.56973624224091,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-16-02-25-00.avi,14.170468930227615,4812.088189237539,283,25.90395219858797,45.947964585329764,6491.794976432655,0.30630165717722657,3372.5,337664.11683194595,77.42256480625127,3.043359134676378,0.11755774864759815,69.7725858208141,3.7093919975084586,4691.284932741183,164.52362867225716,3.5899610527232637,0.03877169909667474,65.05705391587219,108.57859033940777,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-15-22-46-06.avi,17.193099656193116,1461.663235294117,102,12.530413384263545,44.72980579099257,3164.5,0.0,581.8999999999996,85492.19480031723,124.14886170032578,2.0916826888325333,0.038300008916870236,60.86306622719089,6.2806206093857275,3320.6467339474934,69.48398882503766,2.7655694805769238,0.06507866288071054,20.56826898597683,49.44717974597013,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-16-22-59-18.avi,14.156086133400883,2026.7331773081744,96,9.577390652477929,39.530029998220094,2954.227272727275,0.9920078582328709,1340.25,150903.63995722725,89.5240577859388,2.1930072699467904,0.08812073006876586,78.31945323644626,3.4773472138876516,5550.3522334874915,92.87022711901236,4.225621690249159,0.07838401690891278,17.763009164912006,37.90897360455392,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-17-02-35-22.avi,14.084712086265402,1201.6875,20,1.3472784384094845,38.36626492369918,1848.5,1.72300535785338,571.25,106846.86796875,162.3832536520128,2.0546426726100244,0.15549539172675092,242.9209673224848,1.6912124560569441,5390.11197414697,518.2519818588796,5.5825161714108456,0.23085968151630396,212.6861307650512,5.4693440085527625,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-16-22-34-55.avi,12.076926430962537,1407.3755374438929,83,4.702530529638025,44.280861107514575,3327.2499999999995,0.9583663088012476,787.0,615717.6533224676,99.64103731872429,2.08001993595845,0.08567097876933827,132.810524639097,5.0724871809986976,15014.126273317424,1438.6001715543964,4.561787689822675,0.6886306714938802,20.556329390463134,17.743694489820907,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-16-22-58-58.avi,14.022024456910007,2237.9409523809522,105,8.419952004947607,47.01569357120664,3300.2,0.0,1605.2,167108.313846712,121.14269731777256,2.235888400716109,0.09007222207110564,107.17105442724063,6.677959876821434,4851.560343088048,2.5362860789380126,4.198417092413118,0.20134729331656206,24.41354628111631,32.2043141127807,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-17-02-35-13.avi,9.43813852069773,1803.2573204764674,77,4.03659347578039,32.239826002083866,2776.7999999999993,0.1380049522162738,1299.4500000000007,119393.1437257247,67.8089308402661,2.123102984888744,0.0671374999436772,128.27566347252892,4.0576657997271015,6267.452988686925,37.3903452574979,3.983462427142932,0.07197979380917817,12.43712437736744,16.07891570078192,0
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Aviones/Copia de Station_1_2020-10-16-22-58-48.avi,10.542693104265682,2382.754878048781,82,5.3751589818103325,27.522872372409573,3199.100000000001,0.6001725639355081,1617.4499999999996,199614.44168352176,53.0839806785084,2.3529435522360544,0.0769158794383441,60.493860032665616,6.0057301716680005,4376.3960133278415,322.53191626933625,2.817007904092369,0.2328444549727857,8.251934572721552,20.797083768724296,0
