Video,velocidad media,mean_intensidad,N,dispersion,max_vel,max_int,min_vel,min_int,var_int,var_vel,mean_fwhm,var_fwhm,V_feat_i_1,V_feat_i_2,V_feat_v_1,V_feat_v_2,V_feat_fwhm_1,V_feat_fwhm_2,loss,recorrido,Clasificación
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-04-18-01-56-24.avi,21.07667042901228,677.3199999999998,5,0.7796182815816117,29.65473710311592,928.6,7.779796349848953,516.1999999999998,23360.04160000001,98.67079310711344,2.1309137253062085,0.05000759122747783,98.4277137521206,5.355832559514017,849.7939450732374,52.70550292629978,2.1723396209242645,0.05245269072299479,0.6257178210660115,2.3735315256398324,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-04-18-00-18-13.avi,82.04554390999435,734.123076923077,13,9.007983626273363,115.65354796698429,893.0999999999998,49.69947250401622,521.5999999999998,14375.902159763307,413.8475269277688,2.1428302957236607,0.04290437372318257,481.3378087550933,4.650263394888191,2191.1681728613307,111.17981200802996,4.406896335918492,0.2895981324957547,2.999157292077527,32.457663589169954,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-04-22-02-57-27.avi,56.08304419482379,554.6999999999998,7,3.2892378244897347,75.22451722074102,892.1500000000002,36.3078128791719,408.84999999999985,21238.1842857143,198.98374750267058,2.230359583161873,0.07822166177214511,148.01642256018962,8.39598325979092,1072.178715092575,39.368399862923006,2.9244815026518896,0.0933266274860499,1.2415278348032714,11.26319036477501,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-05-17-03-04-12.avi,85.61680405422284,946.8888888888887,9,6.405754128809787,101.63410588611015,1570.25,70.20987649465519,492.5,137866.23765432098,137.15299037543252,2.1366358304922635,0.0327771884237216,159.86727153229504,9.799081642135306,2280.2667074102274,3.274203837872089,2.2306149575419214,0.0576500339567699,1.6732658298456895,23.144244595874902,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-04-30-02-32-30.avi,115.44916907091073,1750.7675,20,19.573012344743194,147.0624350389338,3121.6,90.93669743472158,937.35,363514.56631875,239.61636145115418,2.3805582973255253,0.07822348051349827,316.53472911641535,37.00500694707252,7942.567643626571,1046.635960523446,6.477737608235638,0.3145126620059332,3.0338267606641125,73.24102906431857,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-05-14-00-45-49.avi,32.33834504306696,4502.732394175629,135,34.89295585994468,66.91657575774616,8720.447406132334,1.1459884943420016,1252.1999999999996,3649295.063971328,280.84259198895955,2.916935489161762,0.1598155851004104,72.94639457654816,2.1933542176897887,14193.085827242532,729.3668151726883,3.2027810596581894,0.13158028397345106,30.41578047059062,139.3283269841373,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-05-17-23-05-59.avi,76.21792722323151,1316.5454545454547,22,13.599188547293394,105.17406092173412,2008.0,35.014153893380815,804.9000000000002,67597.26429752067,383.0901758885592,2.340801522738284,0.09142259544225638,508.60668284393915,15.915212430106394,5371.936011048953,306.0735114052064,6.311720467473247,0.5335225892439885,3.9589927361328137,52.27990426832292,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-04-19-03-06-52.avi,20.103285468844703,3206.4308561643847,12,1.8321781696005728,29.179716507169147,4246.520273972617,13.460304531919734,829.1000000000001,825616.0287836365,29.13819014137404,2.552049624513732,0.060951179630987985,93.82161149532502,3.5800089447696317,8678.455617453374,180.55732971880127,4.860226662413788,0.1232345719268965,1.6363186566192809,5.946173661501911,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-05-17-03-23-54.avi,18.44983844515664,2902.357735265035,19,2.7451711727607866,35.889542215640404,8711.75,3.3052500453600313,1069.65,4743439.2292347485,80.88688261712599,2.5765429531638206,0.244206489289382,207.722071363924,14.764290952409851,17980.723252822234,576.914224521218,8.992967567372354,0.5720567589573533,3.0984380750453795,9.644558697870494,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-03-05-00-22-37.avi,59.2004557056778,1895.494444444444,18,8.337190085205545,77.54321299850558,2840.5999999999995,21.94687965262225,993.2999999999997,332107.42385802465,194.91469098417198,2.574528157104784,0.08441162879628747,340.65731590189154,14.785738516422715,6719.367223928711,49.3441281279004,6.846675667154146,0.009336560913298956,4.4518340005354835,32.560801029079514,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-05-02-00-06-06.avi,33.6313295740177,1541.5266666666662,15,3.991690410821393,66.3164555251893,2239.95,7.971045056091835,975.85,138964.45528888886,272.6413347776978,2.407433611583151,0.10266454443465094,509.92159295954485,7.037682918776285,6804.709182212505,211.45659180721185,9.219576633820964,0.4308706890068207,2.477536191939293,14.880637775499848,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-05-16-00-20-19.avi,33.976780866479714,1247.135714285714,14,3.9112601308320802,53.71745342802061,1816.5999999999995,4.656156250615032,675.8999999999999,126767.22622448974,122.683207238855,2.4187535323321367,0.09965439579894704,188.56656040496918,5.790495003573966,5221.513306785993,299.4779481824508,5.363933121274892,0.4965880960219721,3.4131557165001,13.679787058517187,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Copia de Station_3_2020-05-09-23-25-13.avi,33.93103263146415,4280.39674587219,50,14.883891444810992,56.04509508140624,8871.376066293227,10.111123634622873,902.6,3925209.10226106,100.77191189226076,2.853253199156705,0.2315724918246041,107.48401821911531,2.4521364812885107,18960.64343002153,667.359132289186,5.1180318882671765,0.2845693936391052,9.27530916635692,55.371303320188396,1
